Ref Number,Animal Name,Animal Type,Breed,Years Old,Months Old,M/F,Size,Energy Level,Vaccinated,Neutered/Spayed,Kid Friendly,Cat Friendly,Dog Friendly,Status,Arrival Date,Special Needs,House Trained,Temperament
HS-0001,Lily,Cat,Siamese,8,0,F,Large,Medium,Partial,Yes,1,True,No,Adopted,2025-02-15,Yes,In Progress,House trained
HS-0002,Jack,Small Animal,Hairless Rat,9,0,M,Tiny,Very Low,Partial,Yes,No,1,No,Adopted,2025-04-08,Yes,Yes,"Watches TV with you, Gets along with other pets"
HS-0003,Riley,Dog,Maltese,9,0,F,Small,Very High,Partial,Yes,1,True,0,Adopted,2025-05-04,No,In Progress,Sunbathing enthusiast
HS-0004,Duke,Small Animal,American Fuzzy Lop,5,0,M,Tiny,Medium,Partial,Yes,Yes,0,1,Adopted,2025-01-11,No,No,"Intelligent and trainable, Good for first-time owners, Shy but affectionate"
HS-0005,Trixie,Reptile,Map Turtle,1,0,M,Medium,Low,No,No,0,True,No,Unavailable,2025-02-12,No,Yes,Loyal and devoted
HS-0006,Rex,Dog,Welsh Corgi,5,0,F,Medium,High,Yes,Yes,Yes,No,No,Adopted,2025-02-01,No,Yes,"Needs yard space, Adventure buddy"
HS-0007,Ruby,Bird,Scarlet Macaw,2,0,F,Medium,Medium,Yes,No,No,1,Yes,Adopted,2025-01-17,Yes,Yes,"Lap pet, Mellow companion"
HS-0008,Coco,Bird,Mixed Breed,5,0,F,Tiny,Very High,Yes,Yes,True,1,Yes,Adopted,2025-02-14,No,Yes,Fearful of loud noises
HS-0009,Jasper,Dog,Norwegian Elkhound,3,0,F,Medium,High,Yes,Yes,1,0,1,Available,2024-11-26,Yes,No,Enjoys walks
HS-0010,Cash,Small Animal,Manx Rat,10,0,F,Small,Very Low,Yes,Yes,Yes,True,False,Available,2025-02-10,Yes,In Progress,"Food motivated, Calm and laid-back, Loves attention"
HS-0011,Precious,Reptile,Carpet Python,10,0,M,X-Large,Low,Yes,Yes,No,False,False,Adopted,2025-01-11,Yes,In Progress,"Selective with friends, Prefers adults only, Loves meeting new people"
HS-0012,Daisy,Bird,Red-shouldered Macaw,1,0,F,Large,High,Partial,Yes,Yes,No,True,Pending,2025-02-02,No,No,"Good with children, Separation anxiety, Quiet and reserved"
HS-0013,Chase,Reptile,Fire Skink,1,0,F,Small,Low,No,Yes,False,True,True,Available,2025-03-08,No,In Progress,"Gentle with smaller animals, Cautious with strangers, Selective with friends"
HS-0014,Oliver,Small Animal,California Rabbit,3,0,M,Small,Very Low,Yes,No,False,No,No,Unavailable,2025-03-19,Yes,Yes,"Loyal and devoted, Needs yard space, Calm and laid-back"
HS-0015,Peanut,Bird,Cockatiel Whiteface,5,0,M,Tiny,High,No,No,1,No,False,Unavailable,2025-03-20,No,No,"Intelligent and trainable, Enjoys being held"
HS-0016,Luna,Cat,Mixed Breed,3,0,M,Small,Low,Yes,Yes,No,No,0,Unavailable,2025-04-30,No,Yes,"Intelligent and trainable, Enjoys being brushed, Independent nature"
